Entradas; 2.786.847,51 ;Empenhado;;;;;;;;;;;;CONTROLE - GAMA;;;;;;;;;;;;;;;;;;
Projeto Básico;Origem;Recebimento;;Responsável;;Item;;QTD COD;VG;NC;Descrição resumida dos itens adjudicados à empresa;Unid;;Empresa;;Qtd. A;V. unitário;V. Total;Fechamento;Nº DANFE;Data DANFE;Data de atesto;Data SEI;Nº TED;Data TED;Bimestre;Observações;Status da cotação;Início do processo;Duração Total (Uteis);Duração Até Hoje (Uteis);Desc Reduzida
441/2020;NFH;25/09/2020;00060-00406695/2020-78;Robson;644/2020;1;11087;2;X;X;IBUPROFENO COMPRIMIDO 600 MG;UN;5000;WERBRAN (700722);04.372.020/0001-44;5000;0,1900000; R$950,00 ;07/10/2020;521208;08/10/2020;23/10/2020;04/11/2020;31379;02/12/2020;6;;;;;;
108/2020;NFH;07/04/2020;00060-00146616/2020-64;Robson;151/2020;1;92402;8;X;X;LUVA CIRURGICA CONVENCIONAL Nº 7,5 EM LATEX ESTERIL.  Aplicação: uso universal em procedimentos cirúrgicos ou que exijam técnica asséptica rigorosa. Material: látex íntegro, Características Adicionais: estéril, com formato, disposição e baínha anatômica, com punho longo, comprimento total da luva de no mínimo de 25 cm, lubrificadas com pó bio absorvível, atóxico, que não cause dano ao organismo em condições normais de uso, devem apresentar boa resistência ao calçar, ser antiderrapante, com látex íntegro, sem manchas, sem ponto de acúmulo de látex, dobradas de acordo com o padrão hospitalar acondicionadas em envelope interno separando as luvas direita e esquerda e devidamente identificado na parte externa. A embalagem externa deve assegurar a esterilidade do produto sob condições adequadas de manuseio e estocagem, deve permitir abertura que promova transferência asséptica sem delaminar, deve conter: o tamanho, o tipo de esterilização, o lote, a data de fabricação e validade, conter número do C.A. Apresentação: embalagem individual, acondicionada em caixa. Unidade De Estoque: par. ;PAR;5000;MEDLIVE (701879);07.752.236/0001-23;5000;1,5800000; R$7.900,00 ;13/04/2020;531816;14/04/2020;20/04/2020;28/04/2020;18237;04/06/2020;3;;;;;;CAIXA ORGANIZADORA
087/2020;NFH;30/03/2020;00060-00128831/2020-83;Clayton;127/2020;1;90551;2;X;X;BICARBONATO DE SODIO SOLUCAO INJETAVEL 8,4 %        (1 MEQ/ML) FRASCO 250 ML;FR;200;RIOCLARENSE (3374);67.729.178/0004-91;175;23,3400000; R$4.084,50 ;02/04/2020;534112;03/04/2020;06/04/2020;07/04/2020;90492;14/04/2020;2;;;;;;HIPOCLORITO DE SODIO A 1% FRASCO PLASTICO ESCURO 5000 ML
090/2020;NUAL;27/05/2020;00060-00216708/2020-19;Jefferson;291/2020;1;51453;4;X;X;GORRO DESCARTÁVEL,Material: em falso tecido, viscose poliéster ou polipropileno, Gramatura: mínima de 30g/m²,   Cor: azul ou verde, Formato: anatômico que permita ajuste perfeito à cabeça, Dimensões: mínimas de : parte central 12cm de largura, 25cm de comprimento, aba de 13cm de largura e 80cm de comprimento.;UN;10000;MEDLIVE (701879);07.752.236/0001-23;10000;0,2400000; R$2.400,00 ;02/06/2020;542060;03/06/2020;09/06/2020;10/06/2020;30735;25/06/2020;3;;;;;;NITROPRUSSETO DE SODIO
184/2020;NFH;29/05/2020;00060-00218616/2020-73;Robson;301/2020;1;92410;6;X;X;LUVA CIRURGICA CONVENCIONAL Nº 6,5 EM LATEX ESTERIL. Aplicação: uso universal em procedimentos cirúrgicos ou que exijam técnica asséptica rigorosa. Material: látex íntegro, Características Adicionais: estéril, com formato, disposição e baínha anatômica, com punho longo, comprimento total da luva de no mínimo de 25 cm, lubrificadas com pó bio absorvível, atóxico, que não cause dano ao organismo em condições normais de uso, devem apresentar boa resistência ao calçar, ser antiderrapante, com látex íntegro, sem manchas, sem ponto de acúmulo de látex, dobradas de acordo com o padrão hospitalar acondicionadas em envelope interno separando as luvas direita e esquerda e devidamente identificado na parte externa. A embalagem externa deve assegurar a esterilidade do produto sob condições adequadas de manuseio e estocagem, deve permitir abertura que promova transferência asséptica sem delaminar, deve conter: o tamanho, o tipo de esterilização, o lote, a data de fabricação e validade, conter número do C.A. Apresentação: embalagem individual, acondicionada em caixa. Unidade De Estoque: par. ;PAR;1500;MEDLIVE (701879);07.752.236/0001-23;1400;1,2700000; R$1.778,00 ;02/06/2020;542152;03/06/2020;09/06/2020;10/06/2020;30678;25/06/2020;3;;;;;;SISTEMA FECHADO DE ASPIRAÇÃO TRAQUEAL VIA TUBO OROTRAQUEAL ADULTO 16 FR
194/2020;NFH;02/06/2020;00060-00225866/2020-60;Jefferson;312/2020;1;90203;4;X;X;OMEPRAZOL PO LIOFILIZADO PARA SOLUCAO INJETAVEL 40 MG FRASCO AMPOLA + SOLUCAO DILUENTE (AMPOLA 10 ML);AMP;175;MEDLIVE (701879);07.752.236/0001-23;160;30,0000000; R$4.800,00 ;05/06/2020;542915;08/06/2020;16/06/2020;17/06/2020;32374;29/06/2020;3;;;;;;
202/2020;NFH;03/06/2020;00060-00228703/2020-39;Clayton;327/2020;1;90259;4;X;X;AZITROMICINA PO PARA SOLUCAO INJETAVEL 500 MG FRASCO AMPOLA;AMP;250;MEDLIVE (701879);07.752.236/0001-23;150;109,0000000; R$16.350,00 ;08/06/2020;543194;09/06/2020;16/06/2020;17/06/2020;32499;29/06/2020;3;;;;;;CIANOCOBALAMINA (VITAMINA B12) SOLUÇAO INJETAVEL 1000 MCG AMPOLA 1 ML A 2 ML
195/2020;NFH;02/06/2020;00060-00225942/2020-37;Robson;311/2020;1;90550;8;X;X;BICARBONATO DE SODIO SOLUCAO INJETAVEL 8,4 % (1 MEQ/ML) AMPOLA 10 ML  ;AMP;600;MEDLIVE (701879);07.752.236/0001-23;100;0,8624000; R$86,24 ;05/06/2020;543195;09/06/2020;16/06/2020;17/06/2020;32504;29/06/2020;3;;;;;;
210/2020;NFH;04/06/2020;00060-00229983/2020-01;Robson;330/2020;1;92402;8;X;X;LUVA CIRURGICA CONVENCIONAL Nº 7,5 EM LATEX ESTERIL.  Aplicação: uso universal em procedimentos cirúrgicos ou que exijam técnica asséptica rigorosa. Material: látex íntegro, Características Adicionais: estéril, com formato, disposição e baínha anatômica, com punho longo, comprimento total da luva de no mínimo de 25 cm, lubrificadas com pó bio absorvível, atóxico, que não cause dano ao organismo em condições normais de uso, devem apresentar boa resistência ao calçar, ser antiderrapante, com látex íntegro, sem manchas, sem ponto de acúmulo de látex, dobradas de acordo com o padrão hospitalar acondicionadas em envelope interno separando as luvas direita e esquerda e devidamente identificado na parte externa. A embalagem externa deve assegurar a esterilidade do produto sob condições adequadas de manuseio e estocagem, deve permitir abertura que promova transferência asséptica sem delaminar, deve conter: o tamanho, o tipo de esterilização, o lote, a data de fabricação e validade, conter número do C.A. Apresentação: embalagem individual, acondicionada em caixa. Unidade De Estoque: par. ;PAR;10000;MEDLIVE (701879);07.752.236/0001-23;10000;1,2800000; R$12.800,00 ;10/06/2020;543935;12/06/2020;18/06/2020;22/06/2020;32484;29/06/2020;3;;;;;;LACTULOSE XAROPE 667 MG/ML FRASCO 120 ML
250/2020;NFH;16/06/2020;00060-00253385/2020-44;Jefferson;389/2020;1;23384;1;x;x;HIDROXIDO DE ALUMINIO + HIDROXIDO DE MAGNESIO SUSPENSAO ORAL (60 MG + 40 MG)/ML FRASCO COM NO MINIMO 100 ML;FR;150;MEDLIVE (701879);07.752.236/0001-23;150;2,4500000; R$367,50 ;19/06/2020;545914;22/06/2020;30/06/2020;01/07/2020;45733;20/07/2020;4;;;;;;CONJUNTO PARA DETERMINAÇAO DE CREATININA
253/2020;NFH;19/06/2020;00060-00258183/2020-99;Jefferson;411/2020;1;92400;3;X;X;LUVA CIRURGICA CONVENCIONAL Nº 8,5 EM LATEX ESTERIL. Aplicação: uso universal em procedimentos cirúrgicos ou que exijam técnica asséptica rigorosa. Material: látex íntegro, Características Adicionais: estéril, com formato, disposição e baínha anatômica, com punho longo, comprimento total da luva de no mínimo de 25 cm, lubrificadas com pó bio absorvível, atóxico, que não cause dano ao organismo em condições normais de uso, devem apresentar boa resistência ao calçar, ser antiderrapante, com látex íntegro, sem manchas, sem ponto de acúmulo de látex, dobradas de acordo com o padrão hospitalar acondicionadas em envelope interno separando as luvas direita e esquerda e devidamente identificado na parte externa. A embalagem externa deve assegurar a esterilidade do produto sob condições adequadas de manuseio e estocagem, deve permitir abertura que promova transferência asséptica sem delaminar, deve conter: o tamanho, o tipo de esterilização, o lote, a data de fabricação e validade, conter número do C.A. Apresentação: embalagem individual, acondicionada em caixa. Unidade De Estoque: par. ;PAR;3000;MEDLIVE (701879);07.752.236/0001-23;3000;1,4800000; R$4.440,00 ;29/06/2020;547886;29/06/2020;06/07/2020;13/07/2020;46929;21/07/2020;4;;;;;;CEFAZOLINA SODICA PO PARA SOLUCAO INJETAVEL 1 G FRASCO AMPOLA
269/2020;NFH;24/06/2020;00060-00268593/2020-48;Jefferson;430/2020;1;90203;4;X;X;OMEPRAZOL PO LIOFILIZADO PARA SOLUCAO INJETAVEL 40 MG FRASCO AMPOLA + SOLUCAO DILUENTE (AMPOLA 10 ML);AMP;500;MEDLIVE (701879);07.752.236/0001-23;500;23,9500000; R$11.975,00 ;29/06/2020;548030;30/06/2020;06/07/2020;13/07/2020;47195;21/07/2020;4;;;;;;VASOPRESSINA  20U/ML SOLUÇÃO INJETÁVEL AMPOLA 1 ML 
144/2020;NUAL;26/06/2020;00060-00271931/2020-29;Robson;450/2020;1;51453;4;x;x;GORRO DESCARTÁVEL,Material: em falso tecido, viscose poliéster ou polipropileno, Gramatura: mínima de 30g/m²,   Cor: azul ou verde, Formato: anatômico que permita ajuste perfeito à cabeça, Dimensões: mínimas de : parte central 12cm de largura, 25cm de comprimento, aba de 13cm de largura e 80cm de comprimento.;UN;10000;MEDLIVE (701879);07.752.236/0001-23;10000;0,2100000; R$2.100,00 ;06/07/2020;549493;06/07/2020;10/07/2020;13/07/2020;46084;20/07/2020;4;;;;;;HALOPERIDOL SOLUCAO INJETAVEL 5 MG/ML AMPOLA 1 ML
338/2020;NFH;30/07/2020;00060-00324335/2020-59;Clayton;536/2020;1;90262;4;X;X;NOREPINEFRINA (HEMITARTARATO) SOLUCAO INJETAVEL 2 MG/ML (EQUIVALENTE A 1MG/ML DE NOREPINEFRINA BASE) AMPOLA 4 ML;AMP;1350;RIOCLARENSE (3374);67.729.178/0004-91;1350;9,4900000; R$12.811,50 ;04/08/2020;549782;04/08/2020;10/08/2020;12/08/2020;63797;18/08/2020;4;;;;;;
284/2020;NFH;06/07/2020;00060-00281236/2020-75;Clayton;469/2020;1;92407;3;X;X;"LUVA DE PROCEDIMENTO NÃO ESTÉRIL DE LÁTEX TAMANHO ""P"". Aplicação: uso em técnica não estéril como proteção do profissional. Material: látex íntegro. Tamanho: pequeno. Características Adicionais: ambidestra, lubrificada com pó bioabsorvível atóxico, que não cause danos ao organismo em condições normais de uso, devem apresentar boa resistência ao calçar, com látex íntegro,sem manchas, sem ponto de acúmulo látex e tamanho de acordo com a especificação, deve estar devidamente embalada de forma a permitir o empilhamento, transporte e armazenamento, a embalagem deve contero tamanho,o lote, a data de fabricação e de validade, conter número do C.A. Apresentação: embalagem contendo 100 (cem) unidades acondicionadas em caixa. Unidade De Estoque: unidade (UN),";UN;120000;MEDLIVE (701879);07.752.236/0001-23;60000;0,4145000; R$24.870,00 ;07/07/2020;550034;08/07/2020;14/07/2020;17/07/2020;54664;03/08/2020;4;;;;;;CISATRACURIO (BESILATO) SOLUCAO INJETAVEL 2 MG/ML AMPOLA 5 ML
303/2020;NFH;14/07/2020;00060-00300995/2020-44;Jefferson;488/2020;1;90028;3;X;X;LIDOCAINA (CLORIDRATO) GELEIA 2 % BISNAGA 30 G;BS;350;MEDLIVE (701879);07.752.236/0001-23;350;2,8000000; R$980,00 ;28/07/2020;555375;30/07/2020;06/08/2020;12/08/2020;63367;18/08/2020;4;;;;;;OMEPRAZOL PO LIOFILIZADO PARA SOLUCAO INJETAVEL 40 MG FRASCO AMPOLA + SOLUCAO DILUENTE (AMPOLA 10 ML)
301/2020;NFH;14/07/2020;00060-00300876/2020-91;Jefferson;486/2020;1;90106;3;X;X;AZITROMICINA COMPRIMIDO 500 MG;CP;800;MEDLIVE (701879);07.752.236/0001-23;600;3,6980000; R$2.218,80 ;28/07/2020;555395;30/07/2020;06/08/2020;12/08/2020;63504;18/08/2020;4;;;;;;CISATRACURIO (BESILATO) SOLUCAO INJETAVEL 2 MG/ML AMPOLA 5 ML
316/2020;NFH;17/07/2020;00060-00307883/2020-14;Jefferson;501/2020;2;92403;8;X;X;LUVA CIRURGICA CONVENCIONAL Nº 8,0 EM LATEX ESTERIL. Aplicação: uso universal em procedimentos cirúrgicos ou que exijam técnica asséptica rigorosa. Material: látex íntegro, Características Adicionais: estéril, com formato, disposição e baínha anatômica, com punho longo, comprimento total da luva de no mínimo de 25 cm, lubrificadas com pó bio absorvível, atóxico, que não cause dano ao organismo em condições normais de uso, devem apresentar boa resistência ao calçar, ser antiderrapante, com látex íntegro, sem manchas, sem ponto de acúmulo de látex, dobradas de acordo com o padrão hospitalar acondicionadas em envelope interno separando as luvas direita e esquerda e devidamente identificado na parte externa. A embalagem externa deve assegurar a esterilidade do produto sob condições adequadas de manuseio e estocagem, deve permitir abertura que promova transferência asséptica sem delaminar, deve conter: o tamanho, o tipo de esterilização, o lote, a data de fabricação e validade, conter número do C.A. Apresentação: embalagem individual, acondicionada em caixa. Unidade De Estoque: par. ;PAR;5000;MEDLIVE (701879);07.752.236/0001-23;5000;1,3900000; R$6.950,00 ;28/07/2020;555846;31/07/2020;06/08/2020;12/08/2020;63747;18/08/2020;4;;;;;;PROPOFOL EMULSAO INJETAVEL 10 MG/ML AMPOLA 20 ML 
392/2020;NFH;25/08/2020;00060-00360230/2020-63;Clayton;601/2020;1;90126;3;X;X;HALOPERIDOL SOLUCAO INJETAVEL 5 MG/ML AMPOLA 1 ML;AMP;150;MEDLIVE (701879);07.752.236/0001-23;150;1,7143000; R$257,15 ;23/09/2020;569906;24/09/2020;14/10/2020;21/10/2020;14800;06/11/2020;6;;;;;;
423/2020;NFH;11/09/2020;00060-00385014/2020-21;Bruno;623/2020;1;90106;3;X;X;AZITROMICINA COMPRIMIDO 500 MG;CP;800;MEDLIVE (701879);07.752.236/0001-23;750;2,0900000; R$1.567,50 ;23/09/2020;569914;24/09/2020;14/10/2020;21/10/2020;17977;11/11/2020;6;;;;;;
421/2020;NFH;11/09/2020;00060-00384280/2020-36;Clayton;620/2020;1;92401;8;X;X;LUVA CIRURGICA CONVENCIONAL Nº 7,0 EM LATEX ESTERIL. Aplicação: uso universal em procedimentos cirúrgicos ou que exijam técnica asséptica rigorosa. Material: látex íntegro, Características Adicionais: estéril, com formato, disposição e baínha anatômica, com punho longo, comprimento total da luva de no mínimo de 25 cm, lubrificadas com pó bio absorvível, atóxico, que não cause dano ao organismo em condições normais de uso, devem apresentar boa resistência ao calçar, ser antiderrapante, com látex íntegro, sem manchas, sem ponto de acúmulo de látex, dobradas de acordo com o padrão hospitalar acondicionadas em envelope interno separando as luvas direita e esquerda e devidamente identificado na parte externa. A embalagem externa deve assegurar a esterilidade do produto sob condições adequadas de manuseio e estocagem, deve permitir abertura que promova transferência asséptica sem delaminar, deve conter: o tamanho, o tipo de esterilização, o lote, a data de fabricação e validade, conter número do C.A. Apresentação: embalagem individual, acondicionada em caixa. Unidade De Estoque: par. ;PAR;5000;MEDLIVE (701879);07.752.236/0001-23;5000;1,3500000; R$6.750,00 ;25/09/2020;570780;28/09/2020;05/10/2020;08/10/2020;14563;06/11/2020;6;;;;;;
421/2020;NFH;11/09/2020;00060-00384280/2020-36;Clayton;620/2020;2;92402;8;X;X;LUVA CIRURGICA CONVENCIONAL Nº 7,5 EM LATEX ESTERIL.  Aplicação: uso universal em procedimentos cirúrgicos ou que exijam técnica asséptica rigorosa. Material: látex íntegro, Características Adicionais: estéril, com formato, disposição e baínha anatômica, com punho longo, comprimento total da luva de no mínimo de 25 cm, lubrificadas com pó bio absorvível, atóxico, que não cause dano ao organismo em condições normais de uso, devem apresentar boa resistência ao calçar, ser antiderrapante, com látex íntegro, sem manchas, sem ponto de acúmulo de látex, dobradas de acordo com o padrão hospitalar acondicionadas em envelope interno separando as luvas direita e esquerda e devidamente identificado na parte externa. A embalagem externa deve assegurar a esterilidade do produto sob condições adequadas de manuseio e estocagem, deve permitir abertura que promova transferência asséptica sem delaminar, deve conter: o tamanho, o tipo de esterilização, o lote, a data de fabricação e validade, conter número do C.A. Apresentação: embalagem individual, acondicionada em caixa. Unidade De Estoque: par. ;PAR;5000;MEDLIVE (701879);07.752.236/0001-23;5000;1,3500000; R$6.750,00 ;25/09/2020;570780;28/09/2020;05/10/2020;08/10/2020;14563;06/11/2020;6;;;;;;
460/2020;NFH;01/10/2020;00060-00417231/2020-97;Jefferson;661/2020;1;92403;8;X;X;LUVA CIRURGICA CONVENCIONAL Nº 8,0 EM LATEX ESTERIL. Aplicação: uso universal em procedimentos cirúrgicos ou que exijam técnica asséptica rigorosa. Material: látex íntegro, Características Adicionais: estéril, com formato, disposição e baínha anatômica, com punho longo, comprimento total da luva de no mínimo de 25 cm, lubrificadas com pó bio absorvível, atóxico, que não cause dano ao organismo em condições normais de uso, devem apresentar boa resistência ao calçar, ser antiderrapante, com látex íntegro, sem manchas, sem ponto de acúmulo de látex, dobradas de acordo com o padrão hospitalar acondicionadas em envelope interno separando as luvas direita e esquerda e devidamente identificado na parte externa. A embalagem externa deve assegurar a esterilidade do produto sob condições adequadas de manuseio e estocagem, deve permitir abertura que promova transferência asséptica sem delaminar, deve conter: o tamanho, o tipo de esterilização, o lote, a data de fabricação e validade, conter número do C.A. Apresentação: embalagem individual, acondicionada em caixa. Unidade De Estoque: par. ;PAR;5000;MEDLIVE (701879);07.752.236/0001-23;5000;1,2746000; R$6.373,00 ;08/10/2020;573938;08/10/2020;19/10/2020;21/10/2020;14550;06/11/2020;6;;;;;;
460/2020;NFH;01/10/2020;00060-00417231/2020-97;Jefferson;661/2020;2;92410;6;X;X;LUVA CIRURGICA CONVENCIONAL Nº 6,5 EM LATEX ESTERIL. Aplicação: uso universal em procedimentos cirúrgicos ou que exijam técnica asséptica rigorosa. Material: látex íntegro, Características Adicionais: estéril, com formato, disposição e baínha anatômica, com punho longo, comprimento total da luva de no mínimo de 25 cm, lubrificadas com pó bio absorvível, atóxico, que não cause dano ao organismo em condições normais de uso, devem apresentar boa resistência ao calçar, ser antiderrapante, com látex íntegro, sem manchas, sem ponto de acúmulo de látex, dobradas de acordo com o padrão hospitalar acondicionadas em envelope interno separando as luvas direita e esquerda e devidamente identificado na parte externa. A embalagem externa deve assegurar a esterilidade do produto sob condições adequadas de manuseio e estocagem, deve permitir abertura que promova transferência asséptica sem delaminar, deve conter: o tamanho, o tipo de esterilização, o lote, a data de fabricação e validade, conter número do C.A. Apresentação: embalagem individual, acondicionada em caixa. Unidade De Estoque: par. ;PAR;3000;MEDLIVE (701879);07.752.236/0001-23;3000;1,2746000; R$3.823,80 ;08/10/2020;573938;08/10/2020;19/10/2020;21/10/2020;14550;06/11/2020;6;;;;;;
243/2019;NFH;05/12/2019;00060-00498113/2019-38;Robson;.407/2019;2;95131;4;X;X;CAL SODADA, Absorvedor de CO2. Utilizado em circuito respiratório de aparelhos de anestesia. Uso exclusivo em anestesia. Composição: 97% de hidróxido de cálcio, 3% de hidróxido de sódio, 0,03% de indicador de cor e 13 a 17 % de água. Apresentado na forma de filamento poroso de 3 mm de diâmetro. Embalagem de 5 litros (4,5 KG);KG;30;CIRÚRGICA FERNANDES (3510);61.418.042/0001-31;27;23,1111111; R$624,00 ;12/12/2019;1164569;13/12/2019;13/12/2019;30/12/2019;44836;24/01/2020;A/A;;;;;;ROLAMENTO M608
243/2019;NFH;05/12/2019;00060-00498113/2019-38;Robson;.407/2019;4;92445;6;X;X;SONDA DE FOLEY 2 VIAS LÁTEX Nº 14. Aplicação: para drenagem e controle da diurese e irrigação vesical. Material: Látex atóxico.  Características Adicionais: estéril, descartável, siliconizada, medindo no mínimo 40 cm, apresentando flexibilidade e maleabilidade adequado ao fim a que se destina, que não cause irritação ao paciente, apresentando espessura uniforme, isenta de manchas ou quaisquer defeitos, balão com capacidade de 05 a 15 ml e boa distensibilidade, com válvula fixa que permita perfeita adaptação em seringas. Ponta arredondada e fechada, apresentando 02 orifícios ovais situados em lados opostos, delimitados e proporcionais ao diâmetro, isentos de rebarbas e/ou saliências que possam traumatizar o paciente. Embalagem dupla, sendo a externa em papel grau cirúrgico e a interna em polietileno picotada nas extremidades, favorecendo a abertura em técnica asséptica e garantindo a integridade e esterilidade do produto. Apresentação: embalagem individual, acondicionada em caixa com 10 unidades. Unidade de Estoque: unidade (UN). Código SES: 092445. BR0279768;UN;100;CIRÚRGICA FERNANDES (3510);61.418.042/0001-31;100;2,2700000; R$227,00 ;12/12/2019;1164569;13/12/2019;13/12/2019;30/12/2019;44836;24/01/2020;A/A;;;;;;Sensor para Oximetria de Pulso (SPO²)
243/2019;NFH;05/12/2019;00060-00498113/2019-38;Robson;.407/2019;5;92439;3;X;X;SONDA DE FOLEY 2 VIAS LÁTEX Nº 18. Aplicação: drenagem e controle da diurese. Material: Látex atóxico. Características Adicionais: estéril, descartável, siliconizada, medindo no mínimo 40cm, com flexibilidade adequada ao fim a que se destina, que não cause irritação ao paciente, espessura uniforme, isenta de manchas ou quaisquer defeitos. Balão com capacidade de 30 ml, com válvula fixa que permita perfeita adaptação em seringas, e boa distensibilidade. Ponta distal arredondada e fechada, apresentando 2 orifícios ovais situados em lados opostos, delimitados e proporcionais ao diâmetro da sonda, isentos de rebarbas e ou saliências que possam traumatizar o paciente. Embalagem dupla, sendo a externa em papel grau cirúrgico e a interna em polietileno picotado nas extremidades, favorecendo a abertura em técnica asséptica e garantindo a esterilidade do produto. Apresentação: embalagem individual, acondicionada em caixas com 10 unidades. Unidade de Estoque: unidade (UN). Código SES: 092439.  BR0277019;UN;100;CIRÚRGICA FERNANDES (3510);61.418.042/0001-31;100;2,2700000; R$227,00 ;12/12/2019;1164569;13/12/2019;13/12/2019;30/12/2019;44836;24/01/2020;A/A;;;;;;SUGADOR DE SOLDA
003/2020;NUAL;22/01/2020;00060-00027631/2020-12;Clayton;019/2020;1;49185;2;X;X;FITA AUTOADESIVA HOSPITALAR,Material: confeccionada em duas faces, sendo o dorso em papel crepado tratado e outra face em adesivo acrílico que não deve deixar resíduos nas superfícies onde é aplicada, deve apresentar excelente adesão e ser resistente, Tamanho/Capacidade: 19mm x 50m, Características Adicionais: acondicionado em saco plástico individualmente, Forma De Apresentação: rolo com 19mm x 50m, Prazo de validade: 75% do prazo total de validade do produto, Unidade De Estoque: rolo (RL), Código SES: 049185, Unidade De Fornecimento: rolo com 19mm x 50m. ***A marca CIEX, não apresentou boa qualidade.***;RL;5000;CIRÚRGICA FERNANDES (3510);61.418.042/0001-31;2000;2,1500000; R$4.300,00 ;24/01/2020;1177070;27/01/2020;29/01/2020;30/01/2020;72871;06/03/2020;2;;;;;;0
016/2020;NFH;24/01/2020;00060-00028569/2020-78;Robson;028/2020;1;92451;1;X;X;"SONDA DE FOLEY 3 VIAS LÁTEX Nº 20. Aplicação: drenagem e controle da diurese e irrigação vesical. Material: látex atóxico.  Características Adicionais: estéril, descartável, siliconizada, medindo no mínimo 40cm, apresentando flexibilidade e maleabilidade adequada ao fim a que se destina; que não cause irritação ao paciente; com espessura uniforme e isento de manchas ou quaisquer defeitos, balão de no mínimo 30ml e boa distensibilidade. Válvula do balão fixa, que permita perfeita adaptação em seringas, com ponta arredondada e fechada, apresentando 2 orifícios ovais próximos a ponta, situados em lados opostos, delimitados e proporcionais ao diâmetro da sonda, isentos de rebarbas e ou saliências que possam traumatizar o paciente. Embalagem dupla, sendo a externa em papel grau cirúrgico e a interna em polietileno picotado nas extermidades, favorecendo a abertura em técnica asséptica e garantindo a integridede e esterilidade do produto. Apresentação: embalagem individual, acondicionada em caixa com 10 unidades. Unidade de Estoque: unidade (UN). Código SES: 092451. BR0277025";UN;20;CIRÚRGICA FERNANDES (3510);61.418.042/0001-31;20;3,0000000; R$60,00 ;03/02/2020;1183503;12/02/2020;17/02/2020;18/02/2020;73835;09/03/2020;2;;;;;;ETIQUETA AUTOADESIVA
016/2020;NFH;24/01/2020;00060-00028569/2020-78;Robson;028/2020;2;92452;2;X;X;"SONDA DE FOLEY 3 VIAS LÁTEX Nº 22. Aplicação: drenagem e controle da diurese e irrigação vesical. Material: látex atóxico.  Características Adicionais: estéril, descartável, confeccionada em látex siliconizado, medindo no mínimo 40cm, apresentando flexibilidade e maleabilidade adequada ao fim a que se destina; que não cause irritação ao paciente; com espessura uniforme e isento de manchas ou quaisquer defeitos, balão de no mínimo 30ml e boa distensibilidade. Válvula do balão fixa, que permita perfeita adaptação em seringas, com ponta arredondada e fechada, apresentando 2 orifícios ovais próximos a ponta, situados em lados opostos, delimitados e proporcionais ao diâmetro, isentos de rebarbas e ou saliências que possam traumatizar o paciente. Embalagem dupla, sendo a externa em papel grau cirúrgico e a interna em polietileno picotado nas extermidades, favorecendo a abertura em técnica asséptica e garantindo a integridede e esterilidade do produto. Apresentação: embalagem individual, acondicionada em caixa com 10 unidades. Unidade de Estoque: unidade (UN). Código SES: 092452.";UN;20;CIRÚRGICA FERNANDES (3510);61.418.042/0001-31;20;3,0000000; R$60,00 ;03/02/2020;1183503;12/02/2020;17/02/2020;18/02/2020;73835;09/03/2020;2;;;;;;ETIQUETA AUTO-ADESIVA para FARMÁCIA
016/2020;NFH;24/01/2020;00060-00028569/2020-78;Robson;028/2020;3;92439;3;X;X;SONDA DE FOLEY 2 VIAS LÁTEX Nº 18. Aplicação: drenagem e controle da diurese. Material: Látex atóxico. Características Adicionais: estéril, descartável, siliconizada, medindo no mínimo 40cm, com flexibilidade adequada ao fim a que se destina, que não cause irritação ao paciente, espessura uniforme, isenta de manchas ou quaisquer defeitos. Balão com capacidade de 30 ml, com válvula fixa que permita perfeita adaptação em seringas, e boa distensibilidade. Ponta distal arredondada e fechada, apresentando 2 orifícios ovais situados em lados opostos, delimitados e proporcionais ao diâmetro da sonda, isentos de rebarbas e ou saliências que possam traumatizar o paciente. Embalagem dupla, sendo a externa em papel grau cirúrgico e a interna em polietileno picotado nas extremidades, favorecendo a abertura em técnica asséptica e garantindo a esterilidade do produto. Apresentação: embalagem individual, acondicionada em caixas com 10 unidades. Unidade de Estoque: unidade (UN). Código SES: 092439.  BR0277019;UN;100;CIRÚRGICA FERNANDES (3510);61.418.042/0001-31;100;2,3400000; R$234,00 ;03/02/2020;1183503;12/02/2020;17/02/2020;18/02/2020;73835;09/03/2020;2;;;;;;ETIQUETA AUTOADESIVA
