Name;Acrilico;Diversos / Problematico;Eletrica, Hidra˙lica, Marcenaria, Serralheria;Equipamentos - PeÁas e ServiÁos;Fios de Sutura;Fisioterapia;Gases Medicinais;Instrumental Cir˙rgico;LaboratÛrio;Lavanderia, Hotelaria;Medicamentos;Material Medico;Odonto;Papelaria, Inform·tica;Radiologia;ServiÁos Gr·ficos;DedetizaÁ„o;;;;;;;;;;;;;;;
TCA FARMA - Lilian;;;;;;;;;;;X;X;;;;;;tcafarma2018@gmail.com;;;;;;;;;;;;;;
TECMED;;;;X;;;;;;;;;;;;;;tecmed.assistencia@gmail.com;;;;;;;;;;;;;;
TECNEO;;;;X;;;;;;;;;;;;;;tecneo.eletronica@gmail.com;;;;;;;;;;;;;;
TECNO4;;;;X;;;;X;;;;X;;;;;;bianca.bueno@tecno4.com.br;;;;;;;;;;;;;;
TECNOMEDICA;;;;X;;;;;;;;;;;;;;tecnomedica@uol.com.br;;;;;;;;;;;;;;
TEKNAMED;;x;;;;;;;;;;;;;;;;joecilda@teknamed.com.br;;;;;;;;;;;;;;
TEKNIKA BIOM…DICA - GOOGLE;;;;X;;;;;;;;;;;;;;atendimento@teknikabiomedica.com.br;;;;;;;;;;;;;;
TEXTIL MED;;;;;;;;;;X;;;;;;;;contato@textilmed.com.br;;;;;;;;;;;;;;
TIRADENTES;;;;X;;;;;;;;X;;;X;;;vendasbsb1@tiradentesnet.com.br;;;;;;;;;;;;;;
TIRADENTES;;;;X;;;;;;;;X;;;;;;vendas@tiradentesnet.com.br;;;;;;;;;;;;;;
TIRADENTES;;;;X;;;;;;;;X;;;;;;vendas@tiradentessaude.com.br;;;;;;;;;;;;;;
TIRADENTES;;;;X;;;;;;;;X;;;;;;diag_imagem2@tiradentessaude.com.br;;;;;;;;;;;;;;
TOP DESCART¡VEIS;;;;;;;;;;;X;X;;;;;;admtopdescartaveis@gmail.com;;;;;;;;;;;;;;
TOPAZIO;;;;;;;;X;X;;X;X;X;;X;;;topazio45@hotmail.com;;;;;;;;;;;;;;
TOPMED;;;;;;;;;;;X;;;;;;;vendasgo2@topmedhospitalar.com.br;;;;;;;;;;;;;;
TOPMEDLAR - MARCILEIA;;;;;;;;;;;X;X;;;;;;marcileia.carvalho@grupotopmed.com.br;;;;;;;;;;;;;;
TOPMEDLAR - MARCILEIA;;;;;;;;;;;X;X;;;;;;maraiza.silva@grupotopmed.com.br;;;;;;;;;;;;;;
TORNEADORA J SANTOS;;;;X;;;;;;;;;;;;;;contato@torneadorajsantos.com.br;;;;;;;;;;;;;;
TOSHIBA MEDICAL;;;;X;;;;;;;;;;;;;;brasilia@toshibamedical.com.br;;;;;;;;;;;;;;
TOTAL FERRAGENS;;;X;;;;;;;;;;;;;;;totalferragens@hotmail.com;;;;;;;;;;;;;;
TRAUMA;;;;;;;;;;;;X;;;;;;traumasystem.med@gmail.com;;;;;;;;;;;;;;
TRIAC;;x;;;;;;;;;;;;;;;;TRIACCIENTICA@YAHOO.COM.BR;;;;;;;;;;;;;;
TRIAC CIENTIFICA;;x;;;;;;;;;;;;;;;;triaccientifica@yahoo.com.br;;;;;;;;;;;;;;
TRIAC ENGENHARIA;;;;X;;;;;;;;;;;;;;contato@triacengenharia.com.br;;;;;;;;;;;;;;
TSL;;;;;;;;;;;;X;;;;;;tsl.materiais@hotmail.com;;;;;;;;;;;;;;
UNIAO QUIçMICA;;;;;;;;;;;X;;;;;;;faturamentolicitacoes@uniaoquimica.com.br;;;;;;;;;;;;;;
UNIAO QUIçMICA - CAETANO;;;;;;;;;;;X;;;;;;;kcaetano@uniaoquimica.com.br;;;;;;;;;;;;;;
UNIAO QUIçMICA - MARCELLA;;x;;;;;;;;;;;;;;;;marcela.uniaoquimica@gmail.com;;;;;;;;;;;;;;
UNIAO QUIMICA - ALEX;;x;;;;;;;;;;;;;;;;aodiniz@uniaoquimica.com.br;;;;;;;;;;;;;;
UNIAO QUIMICA - EMANUELLA;;;;;;;;;;;X;;;;;;;ebarauna@uniaoquimica.com.br;;;;;;;;;;;;;;
UNIAO QUIMICA - ERIKA;;;;;;;;;;;X;;;;;;;ebarros@uniaoquimica.com.br;;;;;;;;;;;;;;
UNIAO QUIMICA - MARIA;;;;;;;;;;;X;;;;;;;myramos@uniaoquimica.com.br;;;;;;;;;;;;;;
UNIAO QUIMICA - Mariney;;X;;;;;;;;;;;;;;;;mvolpi@uniaoquimica.com.br;;;;;;;;;;;;;;
UNIAO QUIMICA - RAQUEL;;;;;;;;;;;X;;;;;;;rplentz@uniaoquimica.com.br;;;;;;;;;;;;;;
UNIAO QUIMICA - RICARDO;;;;;;;;;;;X;;;;;;;rzica@uniaoquimica.com.br;;;;;;;;;;;;;;
UNISCIENCE;;;;;;;;;;;X;X;;;;;;priscila.goncalves@uniscience.com.br;;;;;;;;;;;;;;
UNITEC;;x;;;;;;;;;;;;;;;;a-unitec@brturbo.com.br;;;;;;;;;;;;;;
VERA CRUZ;;;;;;;;;X;;X;X;;;;;;andrea@veracruzhospitalar.com.br;;;;;;;;;;;;;;
VETON;;;;X;;;;;;;;;;;;;;ludimila@veton.com.br;;;;;;;;;;;;;;
VETON;;;;X;;;;;;;;;;;;;;wellington@veton.com.br;;;;;;;;;;;;;;
VETON;;;;X;;;;X;;;;X;;;;;;veton@veton.com.br;;;;;;;;;;;;;;
VIA FARMA;;;;;;;;;;;X;X;;;;;;wemersonbiosoluto@hotmail.com;;;;;;;;;;;;;;
VIA MAGISTRAL - MANIPULA«√O;;;;;;;;;;;X;;;;;;;viamagistral@uol.com.br;;;;;;;;;;;;;;
VIDAMED;;;;;;;;;;;X;X;;;;;;vidamed.dff@gmail.com;;;;;;;;;;;;;;
VILLI FARM;;;;;;;;;;;X;;;;;;;alexandre@villifarm.com.br;;;;;;;;;;;;;;
VIRATEC;;;;X;;;;;;;;;;;;;;viratec@viratec-rj.com.br;;;;;;;;;;;;;;
VISION LINE;;;;;;;;;;;X;;;;;;;atendimento@visionlinebrasil.com.br;;;;;;;;;;;;;;
VISION SERVI«OS;;;;X;;;;;;;;;;;;;;visionservicosespecializados@gmail.com;;;;;;;;;;;;;;
VITA MEDICAL;;;;;;;;;;;;X;;;;;;vendas@vitamedical.com.br;;;;;;;;;;;;;;
VITAL SUPRIMENTOS;;;;;;;;;;;X;X;;;;;;vendas@vitalsuprimentos.com.br;;;;;;;;;;;;;;
VITALMED;;;;;;;;;;X;;X;;X;;;;vitalmedgo@gmail.com;;;;;;;;;;;;;;
VITTA HOSPITALAR;;;;;;;;X;X;X;X;X;X;;;;;licitacao1@vittahospitalar.com.br;;;;;;;;;;;;;;
VITTA HOSPITALAR 2;;;;;;;;X;X;X;X;X;X;;;;;vendas2@vittahospitalar.com.br;;;;;;;;;;;;;;
VITTA HOSPITALAR 3;;;;;;;;X;X;X;X;X;X;;;;;compras@vittahospitalar.com.br;;;;;;;;;;;;;;
VITTA HOSPITALAR 4;;;;;;;;X;X;X;X;X;X;;;;;vendas4@vittahospitalar.com.br;;;;;;;;;;;;;;
VITTAMED;;;;;;;;;;X;X;X;;;;;;vittamed.df@gmail.com;;;;;;;;;;;;;;
Viva Medicamentos;;;;;;;;X;;;X;X;;;;;;licitacao01@vivamedicamentos.com.br;;;;;;;;;;;;;;
VIVA MEDICAMENTOS 2;;;;;;;;;;;X;X;;;;;;vendas02@vivamedicamentos.com.br;;;;;;;;;;;;;;
VIVA MEDICAMENTOS 3;;;;;;;;;;;X;X;;;;;;vendas01@vivamedicamentos.com.br;;;;;;;;;;;;;;
VIVAMED;;;;X;;;;;;;;;;;;;;vivamed@uol.com.br;;;;;;;;;;;;;;
VIVENDA;;;;;;;;;;;X;;;;;;;luiza@rcvendas.com.br;;;;;;;;;;;;;;
VMB ENGENHARIA;;;X;;;;;;;;;;;;;;;vmbengenhariaearquitetura@gmail.com;;;;;;;;;;;;;;
VOGUE;;;;;;;;;;X;;;;;;;;silvanarochalima@hotmail.com;;;;;;;;;;;;;;
VULC√O DA BORRACHA;;;X;;;;;;;;;;;X;;;;francivaldo@vulcaodaborracha.com.br;;;;;;;;;;;;;;
Vyttra Diagnosticos;;;;X;;;;;X;;;;;;;;;marcia.pacheco@vyttra.com;;;;;;;;;;;;;;
WERBRAN;;;;;;;;;;;X;X;;;;;;vendashospitalar1@werbran.com.br;;;;;;;;;;;;;;
WERBRAN 2;;;;;;;;;;;X;X;;;;;;vendashospitalar2@werbran.com.br;;;;;;;;;;;;;;
WIENER;;;;;;;;;X;;;;;;;;;pedidos@wiener-lab.com.br;;;;;;;;;;;;;;
WIENER-LAB;;;;;;;;;X;;;;;;;;;rosangela.pereira@wiener-lab.com.br;;;;;;;;;;;;;;
WIENER-LAB;;;;;;;;;X;;;;;;;;;joeldson.gomes@outlook.com;;;;;;;;;;;;;;
WIENER-LAB;;;;;;;;;X;;;;;;;;;mariatereza@wiener-lab.com.br;;;;;;;;;;;;;;
WIENER-LAB;;;;;;;;;X;;;;;;;;;erica.navarro@wiener-lab.com.br;;;;;;;;;;;;;;
WIENER-LAB;;;;;;;;;X;;;;;;;;;pedidos@wiener-lab.com.br;;;;;;;;;;;;;;
WIENER-LAB;;X;;;;;;;X;;;;;;;;;celsogastaldo@wiener-lab.com.br;;;;;;;;;;;;;;
WINNER;;;;;;;;;X;X;;;;;;;;vendas.winnerbrasil@gmail.com;;;;;;;;;;;;;;
WINNER - CATARINA;;;;;;;;;;X;;X;;;;;;catarina.winnerbrasil@gmail.com;;;;;;;;;;;;;;
WINNER - ELIS;;;;;;;;;;X;;X;;;;;;guedes.elis@ig.com.br;;;;;;;;;;;;;;
WINNER - ELISANGELA;;;;;;;;;;X;;X;;;;;;elisangela@winnerbrasil.com;;;;;;;;;;;;;;
WJ COMERCIO;;;X;X;;;;;;X;;;;X;;X;;vendas@wjcomercio.com.br;;;;;;;;;;;;;;
WL DE OLIVEIRA;;;;;;;;;;;;;;;;X;;wlservicosvisual@gmail.com;;;;;;;;;;;;;;
ZIONTECH;;;;;;;;X;;;;X;;;;;;larissa.silva@ziontechag.com;;;;;;;;;;;;;;
